"variable_name","value_code","value_label_2010","value_label_2014"
"CCS_182",6,"5 YEARS OR MORE","10 YEARS OR MORE"
"CCS_185",6,"5 YEARS OR MORE","10 YEARS OR MORE"
"DHH_OWN",1,"YES","OWNER"
"DHH_OWN",2,"NO","RENTED"
"EDUDH04",3,"OTHER POST-SEC.","SOME POST-SEC."
"EDUDR04",1,"< THAN SECONDARY","< SEC. SCHOOL GR"
"EDUDR04",2,"SECONDARY GRAD.","SEC. SCHOOL. GR."
"EDUDR04",3,"OTHER POST-SEC.","SOME POST-SEC ED"
"EDUDR04",4,"POST-SEC. GRAD.","POST-SEC CERT"
"GEODBCHA",5950,"NORTHEN","NORTHERN"
"GEODPMF",12910,NA,"SOUTH WEST NOVA"
"GEODPMF",12923,NA,"V. DISTRICT H."
"GEODPMF",12930,NA,"COLCHESTER EAST"
"GEODPMF",12940,NA,"PICTOU COUNTY"
"GEODPMF",12958,NA,"CAPE BRETON"
"GEODPMF",12969,NA,"CAPITAL DISTRICT"
"GEODPMF",46901,NA,"WINNIPEG RHA"
"GEODPMF",46902,NA,"PRAIRIE M. H."
"GEODPMF",46903,NA,"INTERLAKE E. RHA"
"GEODPMF",46904,NA,"NORTHEN RHA"
"GEODPMF",46905,NA,"SOUTHEN HEALTH"
"LBSGSOC",1,"MANAG./ART, EDUC","GROUP 1"
"LBSGSOC",2,"BUSIN./FINANC.","GROUP 2"
"LBSGSOC",3,"SALES, SERVICES","GROUP 3"
"LBSGSOC",4,"TRADES/TRANSP.","GROUP 4"
"LBSGSOC",5,"PRIM. IND./PROC.","GROUP 5"
"LOPG020",6,"CARING/ELDERLY","LAYOFF,STRIKE,LO"
"MEX_06",13,NA,"NOT ADDED S. FO."
