"cycle","variable_name","variable_label","has_value_labels","n_value_labels"
"2013-2014","ACCG12N","Difficulty - other - (G)",TRUE,6
"2013-2014","ACCG22B","Diff. getting appt / diagnosis - (G)",TRUE,6
"2013-2014","ACCG22D","Diff. - wait too long for diag. test / h",TRUE,6
"2013-2014","ACCG22O","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG32F","Diff. - not avail. time required/area -",TRUE,6
"2013-2014","ACCG32N","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG43B","Diff. - contact physician-nurse / no pho",TRUE,6
"2013-2014","ACCG43I","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG45B","Diff. - contact physician-nurse / no pho",TRUE,6
"2013-2014","ACCG45I","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG47C","Diff. - contact / tel num / get through",TRUE,6
"2013-2014","ACCG47I","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG53G","Diff. - no fam phys / not avail in area",TRUE,6
"2013-2014","ACCG53J","Diff. - transport / lang. / cost - (G)",TRUE,6
"2013-2014","ACCG53M","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG55G","Diff. - no fam phys / not avail in area",TRUE,6
"2013-2014","ACCG55M","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG63G","Diff. - no fam phys / not avail in area",TRUE,6
"2013-2014","ACCG63L","Diff. - did not know where / unable to l",TRUE,6
"2013-2014","ACCG63M","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG65G","Diff. - no fam phys / not avail in area",TRUE,6
"2013-2014","ACCG65M","Diff. - other - (G)",TRUE,6
"2013-2014","ACCG67E","Diff. - wait too long for appt./see doc.",TRUE,6
"2013-2014","ACCG67M","Diff. - other - (G)",TRUE,6
"2010-2011","ACC_10","Rep. strain - body part affected",TRUE,6
"2013-2014","ACC_10","Required visit to medical specialist",TRUE,6
"2010-2011","ACC_11","Diff. getting specialist care",TRUE,6
"2013-2014","ACC_11","Diff. getting specialist care",TRUE,6
"2010-2011","ACC_12A","Diff. - getting a referral",TRUE,6
"2013-2014","ACC_12A","Diff. - getting a referral",TRUE,6
"2010-2011","ACC_12B","Diff. - getting an appointment",TRUE,6
"2013-2014","ACC_12B","Diff. - getting an appointment",TRUE,6
"2010-2011","ACC_12C","Diff. - no specalists in area",TRUE,6
"2013-2014","ACC_12C","Diff. - no specalists in area",TRUE,6
"2010-2011","ACC_12D","Diff. - waited too long for appointment",TRUE,6
"2013-2014","ACC_12D","Diff. - waited too long for appointment",TRUE,6
"2010-2011","ACC_12E","Diff. - waited too long /see doc.",TRUE,6
"2013-2014","ACC_12E","Diff. - waited too long /see doc.",TRUE,6
"2010-2011","ACC_12F","Diff. - transportation",TRUE,6
"2013-2014","ACC_12F","Diff. - transportation",TRUE,6
"2010-2011","ACC_12G","Diff. - language",TRUE,6
"2010-2011","ACC_12H","Diff. - cost",TRUE,6
"2010-2011","ACC_12I","Diff. - pers./family responsibilities",TRUE,6
"2010-2011","ACC_12J","Diff. - deterioration of health",TRUE,6
"2013-2014","ACC_12J","Diff. - deterioration of health",TRUE,6
"2010-2011","ACC_12K","Diff. - appointment cancelled/deferred",TRUE,6
